model,primary_failed_part,mileage_bucket,age_bucket,date,claims_count
Sentra,Front Tire,10-30k,<1yr,4/22/2025,1
Sentra,Front Tire,10-30k,<1yr,6/6/2025,0
Sentra,Front Tire,10-30k,<1yr,5/21/2025,1
Sentra,Front Tire,10-30k,<1yr,1/3/2025,1
Sentra,Front Tire,10-30k,<1yr,5/12/2025,0
Sentra,Front Tire,10-30k,<1yr,4/7/2025,0
Sentra,Front Tire,10-30k,<1yr,3/23/2025,1
Sentra,Front Tire,10-30k,<1yr,3/23/2025,0
Sentra,Front Tire,10-30k,<1yr,1/31/2025,0
Sentra,Front Tire,10-30k,<1yr,1/4/2025,1
Sentra,Front Tire,10-30k,<1yr,5/15/2025,1
Sentra,Front Tire,10-30k,<1yr,4/16/2025,0
Sentra,Front Tire,10-30k,<1yr,1/27/2025,1
Sentra,Front Tire,10-30k,<1yr,6/7/2025,1
Sentra,Front Tire,10-30k,<1yr,6/1/2025,0
Sentra,Front Tire,10-30k,<1yr,4/29/2025,1
Sentra,Front Tire,10-30k,<1yr,1/1/2025,0
Sentra,Front Tire,10-30k,<1yr,5/7/2025,1
Sentra,Front Tire,10-30k,<1yr,5/9/2025,0
Sentra,Front Tire,10-30k,<1yr,2/22/2025,0
Sentra,Front Tire,10-30k,<1yr,6/9/2025,1
Sentra,Front Tire,10-30k,<1yr,2/22/2025,1
Sentra,Front Tire,10-30k,<1yr,6/23/2025,0
Sentra,Front Tire,10-30k,<1yr,1/21/2025,1
Sentra,Front Tire,10-30k,<1yr,3/2/2025,1
Sentra,Front Tire,10-30k,<1yr,2/2/2025,1
Sentra,Front Tire,10-30k,<1yr,6/9/2025,1
Sentra,Front Tire,10-30k,<1yr,3/19/2025,1
Sentra,Front Tire,10-30k,<1yr,1/9/2025,1
Sentra,Front Tire,10-30k,<1yr,2/12/2025,1
Sentra,Front Tire,10-30k,<1yr,6/23/2025,1
Sentra,Front Tire,10-30k,<1yr,5/1/2025,1
Sentra,Front Tire,10-30k,<1yr,4/4/2025,0
Sentra,Front Tire,10-30k,<1yr,5/31/2025,0
Sentra,Front Tire,10-30k,<1yr,3/16/2025,0
Sentra,Front Tire,10-30k,<1yr,2/16/2025,0
Sentra,Front Tire,10-30k,<1yr,4/2/2025,1
Sentra,Front Tire,10-30k,<1yr,1/11/2025,1
Sentra,Front Tire,10-30k,<1yr,1/17/2025,1
Sentra,Front Tire,10-30k,<1yr,4/14/2025,1
Sentra,Front Tire,10-30k,<1yr,4/6/2025,0
Sentra,Front Tire,10-30k,<1yr,4/25/2025,0
Sentra,Front Tire,10-30k,<1yr,4/4/2025,1
Sentra,Front Tire,10-30k,<1yr,4/4/2025,0
Sentra,Front Tire,10-30k,<1yr,3/23/2025,1
Sentra,Front Tire,10-30k,<1yr,5/2/2025,1
Sentra,Front Tire,10-30k,<1yr,3/19/2025,1
Sentra,Front Tire,10-30k,<1yr,5/14/2025,0
Sentra,Front Tire,10-30k,<1yr,4/7/2025,0
Sentra,Front Tire,10-30k,<1yr,2/24/2025,0
Sentra,Front Tire,10-30k,<1yr,6/12/2025,1
Sentra,Front Tire,10-30k,<1yr,2/8/2025,0
Sentra,Front Tire,10-30k,<1yr,5/23/2025,1
Sentra,Front Tire,10-30k,<1yr,1/19/2025,0
Sentra,Front Tire,10-30k,<1yr,1/3/2025,1
Sentra,Front Tire,10-30k,<1yr,6/25/2025,1
Sentra,Front Tire,10-30k,<1yr,6/20/2025,0
Sentra,Front Tire,10-30k,<1yr,5/7/2025,1
Sentra,Front Tire,10-30k,<1yr,6/21/2025,0
Sentra,Front Tire,10-30k,<1yr,1/1/2025,1
Sentra,Front Tire,10-30k,<1yr,3/29/2025,0
Sentra,Front Tire,10-30k,<1yr,4/11/2025,1
Sentra,Front Tire,10-30k,<1yr,1/16/2025,0
Sentra,Front Tire,10-30k,<1yr,3/28/2025,1
Sentra,Front Tire,10-30k,<1yr,3/22/2025,0
Sentra,Front Tire,10-30k,<1yr,5/3/2025,1
Sentra,Front Tire,10-30k,<1yr,2/23/2025,0
Sentra,Front Tire,10-30k,<1yr,5/14/2025,0
Sentra,Front Tire,10-30k,<1yr,6/10/2025,1
Sentra,Front Tire,10-30k,<1yr,3/14/2025,1
Sentra,Front Tire,10-30k,<1yr,1/30/2025,1
Sentra,Front Tire,10-30k,<1yr,1/14/2025,0
Sentra,Front Tire,10-30k,<1yr,5/27/2025,1
Sentra,Front Tire,10-30k,<1yr,4/14/2025,1
Sentra,Front Tire,10-30k,<1yr,1/2/2025,0
Sentra,Front Tire,10-30k,<1yr,1/8/2025,1
Sentra,Front Tire,10-30k,<1yr,4/21/2025,1
Sentra,Front Tire,10-30k,<1yr,4/8/2025,1
Sentra,Front Tire,10-30k,<1yr,1/30/2025,1
Sentra,Front Tire,10-30k,<1yr,4/15/2025,1
Sentra,Front Tire,10-30k,<1yr,6/22/2025,1
Sentra,Front Tire,10-30k,<1yr,1/18/2025,1
Sentra,Front Tire,10-30k,<1yr,6/18/2025,0
Sentra,Front Tire,10-30k,<1yr,3/29/2025,1
Sentra,Front Tire,10-30k,<1yr,2/19/2025,1
Sentra,Front Tire,10-30k,<1yr,1/21/2025,0
Sentra,Front Tire,10-30k,<1yr,4/23/2025,1
Sentra,Front Tire,10-30k,<1yr,4/7/2025,1
Sentra,Front Tire,10-30k,<1yr,4/14/2025,1
Sentra,Front Tire,10-30k,<1yr,1/6/2025,1
Sentra,Front Tire,10-30k,<1yr,6/27/2025,0
Sentra,Front Tire,10-30k,<1yr,2/12/2025,1
Sentra,Front Tire,10-30k,<1yr,3/17/2025,0
Sentra,Front Tire,10-30k,<1yr,3/16/2025,1
Sentra,Front Tire,10-30k,<1yr,6/27/2025,0
Sentra,Front Tire,10-30k,<1yr,4/6/2025,1
Sentra,Front Tire,10-30k,<1yr,4/7/2025,0
Sentra,Front Tire,10-30k,<1yr,6/3/2025,0
Sentra,Front Tire,10-30k,<1yr,4/29/2025,0
Sentra,Front Tire,10-30k,<1yr,6/29/2025,1
Sentra,Front Tire,10-30k,<1yr,6/1/2025,0
Sentra,Front Tire,10-30k,<1yr,1/24/2025,0
Sentra,Front Tire,10-30k,<1yr,5/11/2025,1
Sentra,Front Tire,10-30k,<1yr,1/22/2025,1
Sentra,Front Tire,10-30k,<1yr,3/17/2025,1
Sentra,Front Tire,10-30k,<1yr,2/24/2025,0
Sentra,Front Tire,10-30k,<1yr,2/28/2025,1
Sentra,Front Tire,10-30k,<1yr,6/26/2025,1
Sentra,Front Tire,10-30k,<1yr,4/10/2025,1
Sentra,Front Tire,10-30k,<1yr,6/8/2025,0
Sentra,Front Tire,10-30k,<1yr,4/26/2025,1
Sentra,Front Tire,10-30k,<1yr,3/26/2025,1
Sentra,Front Tire,10-30k,<1yr,4/28/2025,0
Sentra,Front Tire,10-30k,<1yr,3/27/2025,0
Sentra,Front Tire,10-30k,<1yr,4/3/2025,0
Sentra,Front Tire,10-30k,<1yr,3/9/2025,1
Sentra,Front Tire,10-30k,<1yr,4/11/2025,1
Sentra,Front Tire,10-30k,<1yr,1/5/2025,0
Sentra,Front Tire,10-30k,<1yr,4/9/2025,1
Sentra,Front Tire,10-30k,<1yr,5/23/2025,0
Sentra,Front Tire,10-30k,<1yr,2/18/2025,1
Sentra,Front Tire,10-30k,<1yr,3/10/2025,0
Sentra,Front Tire,10-30k,<1yr,2/16/2025,0
Sentra,Front Tire,10-30k,<1yr,4/17/2025,1
Sentra,Front Tire,10-30k,<1yr,1/6/2025,1
Sentra,Front Tire,10-30k,<1yr,4/6/2025,0
Sentra,Front Tire,10-30k,<1yr,2/19/2025,0
Sentra,Front Tire,10-30k,<1yr,3/2/2025,1
Sentra,Front Tire,10-30k,<1yr,5/15/2025,0
Sentra,Front Tire,10-30k,<1yr,5/20/2025,1
Sentra,Front Tire,10-30k,<1yr,2/10/2025,0
Sentra,Front Tire,10-30k,<1yr,6/11/2025,0
Sentra,Front Tire,10-30k,<1yr,3/21/2025,1
Sentra,Front Tire,10-30k,<1yr,6/5/2025,1
Sentra,Front Tire,10-30k,<1yr,6/30/2025,0
Sentra,Front Tire,10-30k,<1yr,5/31/2025,0
Sentra,Front Tire,10-30k,<1yr,4/22/2025,1
Sentra,Front Tire,10-30k,<1yr,5/31/2025,0
Sentra,Front Tire,10-30k,<1yr,4/13/2025,1
Sentra,Front Tire,10-30k,<1yr,4/7/2025,0
Sentra,Front Tire,10-30k,<1yr,1/13/2025,0
Sentra,Front Tire,10-30k,<1yr,5/20/2025,0
Sentra,Front Tire,10-30k,<1yr,6/30/2025,1
Sentra,Front Tire,10-30k,<1yr,6/25/2025,0
Sentra,Front Tire,10-30k,<1yr,1/30/2025,1
Sentra,Front Tire,10-30k,<1yr,5/12/2025,1
Sentra,Front Tire,10-30k,<1yr,4/30/2025,1
Sentra,Front Tire,10-30k,<1yr,3/23/2025,1
Sentra,Front Tire,10-30k,<1yr,5/13/2025,1
Sentra,Front Tire,10-30k,<1yr,5/23/2025,1
Sentra,Front Tire,10-30k,<1yr,1/10/2025,0
Sentra,Front Tire,10-30k,<1yr,3/15/2025,0
Sentra,Front Tire,10-30k,<1yr,1/28/2025,1
Sentra,Front Tire,10-30k,<1yr,3/16/2025,1
Sentra,Front Tire,10-30k,<1yr,6/13/2025,0
Sentra,Front Tire,10-30k,<1yr,1/6/2025,1
Sentra,Front Tire,10-30k,<1yr,2/19/2025,0
Sentra,Front Tire,10-30k,<1yr,4/18/2025,1
Sentra,Front Tire,10-30k,<1yr,2/27/2025,1
Sentra,Front Tire,10-30k,<1yr,3/20/2025,1
Sentra,Front Tire,10-30k,<1yr,5/15/2025,1
Sentra,Front Tire,10-30k,<1yr,4/24/2025,0
Sentra,Front Tire,10-30k,<1yr,3/8/2025,1
Sentra,Front Tire,10-30k,<1yr,3/27/2025,1
Sentra,Front Tire,10-30k,<1yr,1/27/2025,1
Sentra,Front Tire,10-30k,<1yr,2/5/2025,0
Sentra,Front Tire,10-30k,<1yr,4/10/2025,0
Sentra,Front Tire,10-30k,<1yr,1/31/2025,0
Sentra,Front Tire,10-30k,<1yr,5/25/2025,1
Sentra,Front Tire,10-30k,<1yr,3/3/2025,0
Sentra,Front Tire,10-30k,<1yr,4/26/2025,0
Sentra,Front Tire,10-30k,<1yr,6/6/2025,1
Sentra,Front Tire,10-30k,<1yr,1/15/2025,1
Sentra,Front Tire,10-30k,<1yr,2/12/2025,0
Sentra,Front Tire,10-30k,<1yr,2/10/2025,1
Sentra,Front Tire,10-30k,<1yr,6/17/2025,1
Sentra,Front Tire,10-30k,<1yr,6/5/2025,1
Sentra,Front Tire,10-30k,<1yr,2/23/2025,1
Sentra,Front Tire,10-30k,<1yr,1/6/2025,1
Sentra,Front Tire,10-30k,<1yr,6/3/2025,1
Sentra,Front Tire,10-30k,<1yr,6/15/2025,1
Sentra,Front Tire,10-30k,<1yr,6/26/2025,1
Sentra,Front Tire,10-30k,<1yr,3/16/2025,0
Sentra,Front Tire,10-30k,<1yr,3/17/2025,1
Sentra,Front Tire,10-30k,<1yr,2/25/2025,1
Sentra,Front Tire,10-30k,<1yr,1/18/2025,1
Sentra,Front Tire,10-30k,<1yr,6/25/2025,0
Sentra,Front Tire,10-30k,<1yr,2/11/2025,0
Sentra,Front Tire,10-30k,<1yr,1/22/2025,1
Sentra,Front Tire,10-30k,<1yr,2/20/2025,0
Sentra,Front Tire,10-30k,<1yr,3/12/2025,0
Sentra,Front Tire,10-30k,<1yr,3/24/2025,1
Sentra,Front Tire,10-30k,<1yr,3/26/2025,0
Sentra,Front Tire,10-30k,<1yr,4/23/2025,1
Sentra,Front Tire,10-30k,<1yr,6/5/2025,1
Sentra,Front Tire,10-30k,<1yr,6/6/2025,1
Sentra,Front Tire,10-30k,<1yr,6/2/2025,0
Sentra,Front Tire,10-30k,<1yr,1/8/2025,0
Sentra,Front Tire,10-30k,<1yr,1/11/2025,1
Sentra,Front Tire,10-30k,<1yr,5/2/2025,1
Sentra,Front Tire,10-30k,<1yr,2/17/2025,1
Sentra,Front Tire,10-30k,<1yr,3/29/2025,1
Sentra,Front Tire,10-30k,<1yr,4/13/2025,0
Sentra,Front Tire,10-30k,<1yr,4/10/2025,0
Sentra,Front Tire,10-30k,<1yr,5/23/2025,1
Sentra,Front Tire,10-30k,<1yr,5/5/2025,0
Sentra,Front Tire,10-30k,<1yr,2/3/2025,1
Sentra,Front Tire,10-30k,<1yr,3/5/2025,0
Sentra,Front Tire,10-30k,<1yr,1/15/2025,0
Sentra,Front Tire,10-30k,<1yr,4/8/2025,0
Sentra,Front Tire,10-30k,<1yr,6/14/2025,0
Sentra,Front Tire,10-30k,<1yr,2/23/2025,1
Sentra,Front Tire,10-30k,<1yr,4/18/2025,0
Sentra,Front Tire,10-30k,<1yr,3/31/2025,1
Sentra,Front Tire,10-30k,<1yr,4/25/2025,1
Sentra,Front Tire,10-30k,<1yr,5/15/2025,0
Sentra,Front Tire,10-30k,<1yr,2/20/2025,0
Sentra,Front Tire,10-30k,<1yr,4/24/2025,1
Sentra,Front Tire,10-30k,<1yr,6/28/2025,0
Sentra,Front Tire,10-30k,<1yr,1/19/2025,1
Sentra,Front Tire,10-30k,<1yr,6/15/2025,0
Sentra,Front Tire,10-30k,<1yr,6/24/2025,1
Sentra,Front Tire,10-30k,<1yr,4/5/2025,1
Sentra,Front Tire,10-30k,<1yr,1/28/2025,0
Sentra,Front Tire,10-30k,<1yr,1/14/2025,1
Sentra,Front Tire,10-30k,<1yr,3/14/2025,0
Sentra,Front Tire,10-30k,<1yr,1/26/2025,0
Sentra,Front Tire,10-30k,<1yr,3/2/2025,0
Sentra,Front Tire,10-30k,<1yr,4/13/2025,1
Sentra,Front Tire,10-30k,<1yr,5/5/2025,0
Sentra,Front Tire,10-30k,<1yr,4/27/2025,1
Sentra,Front Tire,10-30k,<1yr,5/4/2025,1
Sentra,Front Tire,10-30k,<1yr,4/8/2025,0
Sentra,Front Tire,10-30k,<1yr,5/5/2025,1
Sentra,Front Tire,10-30k,<1yr,6/5/2025,0
Sentra,Front Tire,10-30k,<1yr,4/3/2025,1
Sentra,Front Tire,10-30k,<1yr,5/29/2025,0
Sentra,Front Tire,10-30k,<1yr,6/18/2025,1
Sentra,Front Tire,10-30k,<1yr,6/27/2025,0
Sentra,Front Tire,10-30k,<1yr,6/14/2025,1
Sentra,Front Tire,10-30k,<1yr,2/21/2025,1
Sentra,Front Tire,10-30k,<1yr,2/2/2025,0
Sentra,Front Tire,10-30k,<1yr,2/3/2025,0
Sentra,Front Tire,10-30k,<1yr,3/11/2025,0
Sentra,Front Tire,10-30k,<1yr,6/3/2025,1
Sentra,Front Tire,10-30k,<1yr,4/9/2025,1
Sentra,Front Tire,10-30k,<1yr,5/3/2025,1
Sentra,Front Tire,10-30k,<1yr,2/25/2025,0
Sentra,Front Tire,10-30k,<1yr,4/30/2025,1
Sentra,Front Tire,10-30k,<1yr,1/21/2025,0
Sentra,Front Tire,10-30k,<1yr,5/31/2025,1
Sentra,Front Tire,10-30k,<1yr,4/18/2025,0
Sentra,Front Tire,10-30k,<1yr,5/1/2025,0
Sentra,Front Tire,10-30k,<1yr,3/22/2025,0
Sentra,Front Tire,10-30k,<1yr,3/26/2025,0
Sentra,Front Tire,10-30k,<1yr,4/26/2025,0
Sentra,Front Tire,10-30k,<1yr,5/30/2025,0
Sentra,Front Tire,10-30k,<1yr,1/31/2025,0
Sentra,Front Tire,10-30k,<1yr,2/3/2025,0
Sentra,Front Tire,10-30k,<1yr,1/8/2025,0
Sentra,Front Tire,10-30k,<1yr,6/4/2025,0
Sentra,Front Tire,10-30k,<1yr,3/20/2025,1
Sentra,Front Tire,10-30k,<1yr,3/27/2025,0
Sentra,Front Tire,10-30k,<1yr,3/9/2025,0
Sentra,Front Tire,10-30k,<1yr,6/21/2025,0
Sentra,Front Tire,10-30k,<1yr,1/7/2025,1
Sentra,Front Tire,10-30k,<1yr,2/11/2025,0
Sentra,Front Tire,10-30k,<1yr,5/18/2025,0
Sentra,Front Tire,10-30k,<1yr,6/30/2025,1
Sentra,Front Tire,10-30k,<1yr,6/9/2025,0
Sentra,Front Tire,10-30k,<1yr,6/26/2025,0
Sentra,Front Tire,10-30k,<1yr,3/13/2025,0
Sentra,Front Tire,10-30k,<1yr,3/18/2025,0
Sentra,Front Tire,10-30k,<1yr,2/22/2025,0
Sentra,Front Tire,10-30k,<1yr,5/24/2025,0
Sentra,Front Tire,10-30k,<1yr,5/16/2025,1
Sentra,Front Tire,10-30k,<1yr,2/5/2025,0
Sentra,Front Tire,10-30k,<1yr,4/7/2025,0
Sentra,Front Tire,10-30k,<1yr,5/31/2025,0
Sentra,Front Tire,10-30k,<1yr,4/25/2025,0
Sentra,Front Tire,10-30k,<1yr,4/14/2025,0
Sentra,Front Tire,10-30k,<1yr,5/27/2025,1
Sentra,Front Tire,10-30k,<1yr,3/13/2025,0
Sentra,Front Tire,10-30k,<1yr,1/31/2025,1
Sentra,Front Tire,10-30k,<1yr,3/2/2025,1
Sentra,Front Tire,10-30k,<1yr,6/22/2025,0
Sentra,Front Tire,10-30k,<1yr,4/10/2025,1
Sentra,Front Tire,10-30k,<1yr,4/10/2025,1
Sentra,Front Tire,10-30k,<1yr,5/5/2025,0
Sentra,Front Tire,10-30k,<1yr,3/11/2025,0
Sentra,Front Tire,10-30k,<1yr,5/20/2025,0
Sentra,Front Tire,10-30k,<1yr,5/14/2025,0
Sentra,Front Tire,10-30k,<1yr,4/20/2025,1
Sentra,Front Tire,10-30k,<1yr,5/10/2025,1
Sentra,Front Tire,10-30k,<1yr,6/4/2025,1
Sentra,Front Tire,10-30k,<1yr,5/30/2025,0
Sentra,Front Tire,10-30k,<1yr,4/11/2025,1
Sentra,Front Tire,10-30k,<1yr,6/4/2025,0
Sentra,Front Tire,10-30k,<1yr,1/3/2025,0
Sentra,Front Tire,10-30k,<1yr,5/13/2025,1
Sentra,Front Tire,10-30k,<1yr,5/3/2025,1
Sentra,Front Tire,10-30k,<1yr,5/13/2025,0
Sentra,Front Tire,10-30k,<1yr,4/19/2025,1
Sentra,Front Tire,10-30k,<1yr,3/1/2025,0
Sentra,Front Tire,10-30k,<1yr,5/25/2025,0
Sentra,Front Tire,10-30k,<1yr,1/21/2025,0
Sentra,Front Tire,10-30k,<1yr,3/18/2025,0
Sentra,Front Tire,10-30k,<1yr,2/1/2025,0
Sentra,Front Tire,10-30k,<1yr,5/19/2025,1
Sentra,Front Tire,10-30k,<1yr,6/27/2025,0
Sentra,Front Tire,10-30k,<1yr,3/3/2025,1
Sentra,Front Tire,10-30k,<1yr,3/24/2025,1
Sentra,Front Tire,10-30k,<1yr,5/30/2025,0
Sentra,Front Tire,10-30k,<1yr,1/10/2025,1
Sentra,Front Tire,10-30k,<1yr,6/9/2025,1
Sentra,Front Tire,10-30k,<1yr,3/15/2025,0
Sentra,Front Tire,10-30k,<1yr,6/6/2025,0
Sentra,Front Tire,10-30k,<1yr,1/14/2025,1
Sentra,Front Tire,10-30k,<1yr,6/25/2025,1
Sentra,Front Tire,10-30k,<1yr,3/14/2025,0
Sentra,Front Tire,10-30k,<1yr,3/16/2025,1
Sentra,Front Tire,10-30k,<1yr,3/8/2025,1
Sentra,Front Tire,10-30k,<1yr,4/30/2025,0
Sentra,Front Tire,10-30k,<1yr,3/13/2025,1
Sentra,Front Tire,10-30k,<1yr,2/17/2025,1
Sentra,Front Tire,10-30k,<1yr,4/28/2025,0
Sentra,Front Tire,10-30k,<1yr,1/14/2025,0
Sentra,Front Tire,10-30k,<1yr,4/26/2025,1
Sentra,Front Tire,10-30k,<1yr,2/5/2025,0
Sentra,Front Tire,10-30k,<1yr,4/3/2025,0
Sentra,Front Tire,10-30k,<1yr,3/18/2025,1
Sentra,Front Tire,10-30k,<1yr,3/11/2025,0
Sentra,Front Tire,10-30k,<1yr,3/29/2025,1
Sentra,Front Tire,10-30k,<1yr,2/8/2025,0
Sentra,Front Tire,10-30k,<1yr,5/3/2025,0
Sentra,Front Tire,10-30k,<1yr,5/24/2025,0
Sentra,Front Tire,10-30k,<1yr,4/16/2025,0
Sentra,Front Tire,10-30k,<1yr,1/17/2025,0
Sentra,Front Tire,10-30k,<1yr,1/16/2025,1
Sentra,Front Tire,10-30k,<1yr,6/4/2025,1
Sentra,Front Tire,10-30k,<1yr,3/27/2025,1
Sentra,Front Tire,10-30k,<1yr,3/6/2025,1
Sentra,Front Tire,10-30k,<1yr,4/28/2025,0
Sentra,Front Tire,10-30k,<1yr,6/16/2025,1
Sentra,Front Tire,10-30k,<1yr,2/11/2025,0
Sentra,Front Tire,10-30k,<1yr,5/21/2025,0
Sentra,Front Tire,10-30k,<1yr,5/2/2025,1
Sentra,Front Tire,10-30k,<1yr,3/12/2025,0
Sentra,Front Tire,10-30k,<1yr,1/15/2025,0
Sentra,Front Tire,10-30k,<1yr,4/27/2025,1
Sentra,Front Tire,10-30k,<1yr,3/23/2025,0
Sentra,Front Tire,10-30k,<1yr,1/24/2025,1
Sentra,Front Tire,10-30k,<1yr,6/7/2025,1
Sentra,Front Tire,10-30k,<1yr,3/4/2025,1
Sentra,Front Tire,10-30k,<1yr,6/6/2025,0
Sentra,Front Tire,10-30k,<1yr,2/1/2025,0
Sentra,Front Tire,10-30k,<1yr,3/6/2025,1
Sentra,Front Tire,10-30k,<1yr,4/8/2025,0
Sentra,Front Tire,10-30k,<1yr,1/2/2025,1
Sentra,Front Tire,10-30k,<1yr,3/3/2025,1
Sentra,Front Tire,10-30k,<1yr,4/25/2025,1
Sentra,Front Tire,10-30k,<1yr,5/20/2025,1
Sentra,Front Tire,10-30k,<1yr,2/13/2025,1
Sentra,Front Tire,10-30k,<1yr,5/24/2025,0
Sentra,Front Tire,10-30k,<1yr,1/8/2025,1
Sentra,Front Tire,10-30k,<1yr,2/28/2025,0
Sentra,Front Tire,10-30k,<1yr,3/22/2025,0
Sentra,Front Tire,10-30k,<1yr,4/16/2025,0
Sentra,Front Tire,10-30k,<1yr,5/14/2025,1
Sentra,Front Tire,10-30k,<1yr,6/3/2025,1
Sentra,Front Tire,10-30k,<1yr,6/5/2025,1
Sentra,Front Tire,10-30k,<1yr,6/26/2025,0
Sentra,Front Tire,10-30k,<1yr,1/30/2025,1
Sentra,Front Tire,10-30k,<1yr,6/23/2025,0
Sentra,Front Tire,10-30k,<1yr,1/5/2025,1
Sentra,Front Tire,10-30k,<1yr,5/24/2025,1
Sentra,Front Tire,10-30k,<1yr,6/16/2025,0
Sentra,Front Tire,10-30k,<1yr,6/15/2025,0
Sentra,Front Tire,10-30k,<1yr,4/6/2025,0
Sentra,Front Tire,10-30k,<1yr,5/17/2025,0
Sentra,Front Tire,10-30k,<1yr,5/7/2025,1
Sentra,Front Tire,10-30k,<1yr,5/3/2025,0
Sentra,Front Tire,10-30k,<1yr,4/28/2025,0
Sentra,Front Tire,10-30k,<1yr,1/1/2025,1
Sentra,Front Tire,10-30k,<1yr,5/1/2025,1
Sentra,Front Tire,10-30k,<1yr,4/2/2025,0
Sentra,Front Tire,10-30k,<1yr,1/8/2025,0
Sentra,Front Tire,10-30k,<1yr,1/28/2025,0
Sentra,Front Tire,10-30k,<1yr,2/18/2025,0
Sentra,Front Tire,10-30k,<1yr,5/28/2025,0
Sentra,Front Tire,10-30k,<1yr,6/17/2025,1
Sentra,Front Tire,10-30k,<1yr,6/22/2025,0
Sentra,Front Tire,10-30k,<1yr,6/9/2025,0
Sentra,Front Tire,10-30k,<1yr,2/25/2025,0
Sentra,Front Tire,10-30k,<1yr,6/3/2025,1
Sentra,Front Tire,10-30k,<1yr,6/10/2025,0
Sentra,Front Tire,10-30k,<1yr,2/14/2025,1
Sentra,Front Tire,10-30k,<1yr,3/24/2025,1
Sentra,Front Tire,10-30k,<1yr,4/11/2025,1
Sentra,Front Tire,10-30k,<1yr,4/26/2025,0
Sentra,Front Tire,10-30k,<1yr,6/6/2025,0
Sentra,Front Tire,10-30k,<1yr,5/3/2025,1
Sentra,Front Tire,10-30k,<1yr,6/27/2025,1
Sentra,Front Tire,10-30k,<1yr,3/19/2025,1
Sentra,Front Tire,10-30k,<1yr,6/23/2025,1
Sentra,Front Tire,10-30k,<1yr,4/11/2025,1
Sentra,Front Tire,10-30k,<1yr,3/4/2025,1
Sentra,Front Tire,10-30k,<1yr,1/24/2025,1
Sentra,Front Tire,10-30k,<1yr,5/3/2025,0
Sentra,Front Tire,10-30k,<1yr,5/4/2025,0
Sentra,Front Tire,10-30k,<1yr,1/18/2025,1
Sentra,Front Tire,10-30k,<1yr,5/13/2025,0
Sentra,Front Tire,10-30k,<1yr,4/14/2025,0
Sentra,Front Tire,10-30k,<1yr,2/16/2025,0
Sentra,Front Tire,10-30k,<1yr,4/15/2025,1
Sentra,Front Tire,10-30k,<1yr,4/15/2025,0
Sentra,Front Tire,10-30k,<1yr,4/23/2025,1
Sentra,Front Tire,10-30k,<1yr,5/16/2025,0
Sentra,Front Tire,10-30k,<1yr,4/16/2025,1
Sentra,Front Tire,10-30k,<1yr,1/18/2025,0
Sentra,Front Tire,10-30k,<1yr,4/14/2025,0
Sentra,Front Tire,10-30k,<1yr,3/1/2025,1
Sentra,Front Tire,10-30k,<1yr,2/27/2025,1
Sentra,Front Tire,10-30k,<1yr,5/24/2025,0
Sentra,Front Tire,10-30k,<1yr,4/11/2025,1
Sentra,Front Tire,10-30k,<1yr,2/23/2025,1
Sentra,Front Tire,10-30k,<1yr,5/17/2025,0
Sentra,Front Tire,10-30k,<1yr,1/31/2025,0
Sentra,Front Tire,10-30k,<1yr,3/3/2025,1
Sentra,Front Tire,10-30k,<1yr,1/3/2025,0
Sentra,Front Tire,10-30k,<1yr,2/20/2025,0
Sentra,Front Tire,10-30k,<1yr,2/6/2025,1
Sentra,Front Tire,10-30k,<1yr,4/15/2025,0
Sentra,Front Tire,10-30k,<1yr,2/3/2025,0
Sentra,Front Tire,10-30k,<1yr,3/19/2025,1
Sentra,Front Tire,10-30k,<1yr,6/25/2025,0
Sentra,Front Tire,10-30k,<1yr,6/7/2025,1
Sentra,Front Tire,10-30k,<1yr,5/13/2025,0
Sentra,Front Tire,10-30k,<1yr,4/18/2025,1
Sentra,Front Tire,10-30k,<1yr,3/19/2025,0
Sentra,Front Tire,10-30k,<1yr,1/7/2025,0
Sentra,Front Tire,10-30k,<1yr,6/6/2025,0
Sentra,Front Tire,10-30k,<1yr,3/6/2025,0
Sentra,Front Tire,10-30k,<1yr,4/14/2025,1
Sentra,Front Tire,10-30k,<1yr,4/12/2025,0
Sentra,Front Tire,10-30k,<1yr,4/4/2025,0
Sentra,Front Tire,10-30k,<1yr,3/12/2025,0
Sentra,Front Tire,10-30k,<1yr,5/26/2025,1
Sentra,Front Tire,10-30k,<1yr,5/5/2025,0
Sentra,Front Tire,10-30k,<1yr,4/26/2025,0
Sentra,Front Tire,10-30k,<1yr,1/8/2025,1
Sentra,Front Tire,10-30k,<1yr,3/22/2025,1
Sentra,Front Tire,10-30k,<1yr,2/27/2025,1
Sentra,Front Tire,10-30k,<1yr,4/11/2025,0
Sentra,Front Tire,10-30k,<1yr,3/18/2025,0
Sentra,Front Tire,10-30k,<1yr,3/10/2025,0
Sentra,Front Tire,10-30k,<1yr,3/5/2025,1
Sentra,Front Tire,10-30k,<1yr,3/7/2025,0
Sentra,Front Tire,10-30k,<1yr,5/25/2025,0
Sentra,Front Tire,10-30k,<1yr,6/16/2025,0
Sentra,Front Tire,10-30k,<1yr,3/28/2025,1
Sentra,Front Tire,10-30k,<1yr,3/15/2025,1
Sentra,Front Tire,10-30k,<1yr,1/27/2025,0
Sentra,Front Tire,10-30k,<1yr,2/3/2025,0
Sentra,Front Tire,10-30k,<1yr,1/28/2025,0
